neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,review_year,review_month,has_reviews,host_activity_level,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room,is_fake
106,40.64749,-73.97237,149,1,9,0.21,6,365,2018,10,1,High,True,False,False,False,True,False,0
125,40.75362,-73.98377,225,1,45,0.38,2,355,2019,5,1,Medium,False,True,False,False,False,False,1
92,40.80902,-73.9419,150,3,0,0.0,1,365,0,0,0,Low,False,True,False,False,True,False,0
40,40.68514,-73.95976,89,1,270,4.64,1,194,2019,7,1,Low,True,False,False,False,False,False,0
135,40.74767,-73.975,200,3,74,0.59,1,129,2019,6,1,Low,False,True,False,False,False,False,0
93,40.76489,-73.98493,79,2,430,3.47,1,220,2019,6,1,Low,False,True,False,False,True,False,0
34,40.71344,-73.99037,150,1,160,1.33,4,188,2019,6,1,Medium,False,True,False,False,False,False,0
199,40.80316,-73.96545,135,5,53,0.43,1,6,2019,6,1,Low,False,True,False,False,False,False,0
93,40.76076,-73.98867,85,2,188,1.5,1,39,2019,6,1,Low,False,True,False,False,True,False,0
179,40.66829,-73.98779,89,4,167,1.34,3,314,2019,6,1,Medium,True,False,False,False,True,False,0
199,40.79826,-73.96113,85,2,113,0.91,1,333,2019,7,1,Low,False,True,False,False,True,False,0
211,40.70837,-73.95352,140,2,148,1.2,1,46,2019,6,1,Low,True,False,False,False,False,False,0
79,40.69169,-73.97185,215,2,198,1.72,1,321,2019,6,1,Low,True,False,False,False,False,False,0
33,40.74192,-73.99501,140,1,260,2.12,1,12,2019,7,1,Low,False,True,False,False,True,False,0
50,40.67592,-73.94694,99,3,53,4.44,1,21,2019,6,1,Low,True,False,False,False,False,False,0
60,40.79685,-73.94872,190,7,0,0.0,2,249,0,0,0,Medium,False,True,False,False,False,False,0
148,40.68069,-73.97706,130,2,130,1.09,6,347,2019,7,1,High,True,False,False,False,True,False,0
148,40.67989,-73.97798,80,1,39,0.37,6,364,2019,1,1,High,True,False,False,False,True,False,0
148,40.68001,-73.97865,110,2,71,0.61,6,304,2019,7,1,High,True,False,False,False,True,False,0
12,40.68371,-73.94028,120,2,88,0.73,2,233,2019,6,1,Medium,True,False,False,False,False,False,0
213,40.65599,-73.97519,60,1,19,1.37,2,85,2019,6,1,Medium,True,False,False,False,True,False,0
93,40.76715,-73.98533,150,10,58,0.49,1,75,2017,8,1,Low,False,True,False,False,False,False,0
101,40.86482,-73.92106,44,3,108,1.11,3,311,2019,6,1,Medium,False,True,False,False,True,False,0
63,40.7292,-73.98542,180,14,29,0.24,1,67,2019,4,1,Low,False,True,False,False,False,False,0
92,40.82245,-73.95104,50,3,242,2.04,3,355,2019,6,1,Medium,False,True,False,False,True,False,0
92,40.81305,-73.95466,52,2,88,1.42,1,255,2019,6,1,Low,False,True,False,False,True,False,0
89,40.72219,-73.93762,55,4,197,1.65,3,284,2019,6,1,Medium,True,False,False,False,True,False,0
92,40.8213,-73.95318,50,3,273,2.37,3,359,2019,7,1,Medium,False,True,False,False,True,False,0
12,40.6831,-73.95473,70,1,74,0.66,2,269,2019,5,1,Medium,True,False,False,False,True,False,0
